trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-103.55778510014716,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-163.2299577102557,"{0: 20, 1: 3, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-198.96879349607207,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-89.45867751428278,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-35.22272139515108,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-119.7945080217041,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,2,-28.68146237983446,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-38.090096672038925,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-9.335470884302524,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,13.354717225704016,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-8.986887978154037,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,-15.04559052961497,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,8.836867141930497,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,9,-30.22015377660513,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,22,13.973179393360173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,10.276625736942925,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-56.14515257105589,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,22.670693755156403,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,15.680775882640685,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,11.234422301590108,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,2,9.717662770291174,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,19.76754666575651,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,29.86765546862631,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,22.88577263502237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,19,27.5525804252099,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,13.99209170008048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,9.108681100618059,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,20.278489954185304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,5.8153269970981585,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,21.97905813113096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
