trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-170.12563008744849,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-195.51626110799862,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-155.59586573144162,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-167.85477442152794,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,0,-50.80661523400329,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-119.14976772557645,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,12,-24.457342640299526,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-103.79553699036877,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,0,-85.000903177956,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",25,0,-50.79656537771955,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-9.954471527509556,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,-95.07352010408758,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",30,1,-17.7571561587026,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,12,17.075358481920684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,-35.28397055174644,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",25,3,-5.510960515572488,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,15,-2.7380389041881523,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",25,0,-60.449534713908506,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,6,17.99491548346022,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,0,-11.083226469377735,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,13,14.055273850328717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,0,-54.79892085522687,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,6,4.960059547767219,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,0,6.433964357590373,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,2,4.8079936795886535,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",25,8,17.805855589600867,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",25,9,-47.95100895626064,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",30,2,-18.31930591829197,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,0,-44.21638942799034,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",30,10,-56.65264460303692,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",35,16,-0.5078649408883658,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",25,19,10.13216539736332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,15,4.9607468518428375,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",25,7,28.57879893723945,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",25,0,18.27079028385323,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",25,11,1.3868668407738869,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",35,0,-6.766633734419159,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",30,18,-1.065373016856506,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,13,-11.668908583731135,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",25,0,-5.080638266277175,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",20,7,25.228185056265573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",20,9,6.761137737765133,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",25,16,15.550512923525373,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",20,9,15.873903047095109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",25,10,14.192834035276439,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",25,19,3.7895799463998023,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,5,16.4516541465883,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
