trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.5012286930156,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,8,-59.73569780869984,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-106.61966243886259,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-86.31978618302207,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-123.93598844878554,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-78.00281940197218,"{0: 21, 1: 3, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-54.13982586640166,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-160.9281564376009,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-134.31479138453207,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,-48.880708257146246,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-53.95037768884195,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-86.56879282836039,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-109.12270976761732,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-114.22772825423532,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-118.87463514164543,"{0: 10, 1: 7, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-121.25585246344482,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-88.73696390493069,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-229.81599724383145,"{0: 21, 1: 3, 2: 5, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.622799103896828,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-227.08545657059892,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",25,0,-138.69435177334978,"{0: 9, 1: 7, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-136.3412190936269,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-228.27939257857335,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-85.15728555513034,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-202.92041441683673,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",25,0,-120.08280706347603,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-70.99717685929285,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,2,-58.142956154240125,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-76.89733946922541,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,5,-6.878004731716845,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
